lit_id,exposure_outcome_pair,direction,strength,notes
LIT-001,oil_gas_proximity__ewing_sarcoma,does_not_resolve,weak,"Null for active wells; weak positive abandoned wells Hispanic-only"
LIT-002,pm25_air_pollution__ewing_sarcoma,does_not_resolve,null,"Null overall; weak Hispanic subgroup only"
LIT-003,ancestry__ewing_sarcoma,strong_biological,strong,"European ancestry 6-8x African; drives baseline expectation"
LIT-004,germline_variation__ewing_sarcoma,strong_biological,strong,"GGAA microsatellite / EWSR1-FLI1 mechanism"
LIT-005,ancestry__ewing_sarcoma,strong_biological,strong,"African American IRR 0.12 vs White"
LIT-006,demographics__ewing_sarcoma,strong_biological,strong,"Baseline rate, age, sex established"
LIT-007,parental_farming__ewing_sarcoma,supports,moderate,"OR 2.0-3.5 but wide CIs touching 1.0"
LIT-008,parental_farming__ewing_sarcoma,supports,moderate,"Pooled OR 2.3-3.9"
LIT-009,paternal_agrochemicals__ewing_sarcoma,weakens,strong,"Largest study; NO agriculture/pesticide association"
LIT-010,prenatal_pesticides__leukemia_lymphoma_brain,supports,moderate,"NOT Ewing sarcoma"
LIT-011,environmental__childhood_cancer,does_not_resolve,weak,"ES-specific evidence sparse"
LIT-012,method__cluster_investigation,methodological,strong,"Silent multiple comparisons problem"
LIT-013,method__cluster_investigation,methodological,strong,"Most clusters find no cause; latency"
LIT-014,environmental__ewing_sarcoma,weakens,moderate,"Wake County: no excess vs expected"
LIT-015,oil_gas__ewing_sarcoma,does_not_resolve,contested,"Washington County PA: excess noted, not attributed"
LIT-016,ag_pesticides__childhood_cancer,does_not_resolve,weak,"McFarland CA: unresolved"
LIT-017,glyphosate__non_hodgkin_lymphoma,supports,moderate,"NOT Ewing; NHL only; cohort alone null"
LIT-018,glyphosate__carcinogenicity,methodological,contested,"EU vs IARC divergence"
LIT-019,residential_mobility__exposure_misclassification,methodological,strong,"55-58% cases move"
LIT-020,parental_pesticides__brain_tumors,supports,moderate,"NOT Ewing"
LIT-021,method__spatial_scan,methodological,strong,"SaTScan"
LIT-022,method__bayesian_small_area,methodological,strong,"BYM2/INLA for rare disease"
