nodeId,nodeType,name,parentNodeId,parentRelationship,relationshipStatus,sourceIds,geometryStatus,validFrom,validTo,confidence,limitations,notes
LH-COMMUNITY-LADERA-RANCH,community,Ladera Ranch,,,root,LH-SRC-OC-PC;LH-SRC-CENSUS-CDP,current_cdp_display_extent_only,1995-10-17,,high,Current Census geometry is not the 1995 planned-community boundary.,"Root research entity; validFrom is plan approval, not construction or occupancy."
LH-PA-1,planning_area,Planning Area 1,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned allocation; not an as-built count,PDF page 134
LH-PA-2,planning_area,Planning Area 2,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Commercial allocation is controlled by community totals; planned allocation is not an as-built count,PDF page 134
LH-PA-3,planning_area,Planning Area 3,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned allocation; not an as-built count,PDF page 134
LH-PA-4,planning_area,Planning Area 4,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned allocation; not an as-built count,PDF page 134
LH-PA-5,planning_area,Planning Area 5,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Commercial allocation is controlled by community totals; planned allocation is not an as-built count,PDF page 134
LH-PA-6,planning_area,Planning Area 6,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned maximum; not an as-built floor-area or unit count,PDF page 134
LH-PA-7,planning_area,Planning Area 7,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned allocation; boundary must be digitized,PDF page 134
LH-PA-8,planning_area,Planning Area 8,LH-COMMUNITY-LADERA-RANCH,planned_component_of,documented_nonspatial,LH-SRC-OC-PC,boundary_not_yet_digitized,1995-10-17,,high,Planned allocation; boundary must be digitized,PDF page 134
LH-VILLAGE-OAK-KNOLL,village,Oak Knoll,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Milestone crosswalk to tract maps and builders unresolved,Oak Knoll Clubhouse opened March 2000
LH-VILLAGE-BRIDGEPARK,village,Bridgepark,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Milestone crosswalk to tract maps and builders unresolved,Bridgepark Plaza opened October 2001
LH-VILLAGE-FLINTRIDGE,village,Flintridge,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Milestone crosswalk to tract maps and builders unresolved,Village clubhouse opened December 2004
LH-VILLAGE-WYCLIFFE,village,Wycliffe,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,,boundary_not_yet_sourced,,,unknown,All milestone fields unresolved,Village name requires planned-map crosswalk
LH-VILLAGE-AVENDALE,village,Avendale,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Milestone crosswalk to tract maps and builders unresolved,Village clubhouse opened June 2002
LH-VILLAGE-TERRAMOR,village,Terramor,LH-COMMUNITY-LADERA-RANCH,named_village_of,documented_nonspatial_parent_planning_area_unresolved,LH-SRC-LARMAC-TIMELINE,boundary_not_yet_sourced,,,unknown,Milestone crosswalk to tract maps and builders unresolved,Terramor Water Park opened November 2005
