conflictId,subjectId,conflictType,positionA,positionAEvidenceIds,positionASourceIds,positionB,positionBEvidenceIds,positionBSourceIds,resolution,confidence,reviewStatus,entityId,resolutionRule,resolutionConfidence
LH-CONFLICT-EIR-APPROVAL-DATE,LH-FEAT-COMMUNITY,different_entitlement_milestones_or_date_conflict,Final EIR 555 certification occurred 1995-10-17.,LH-EVT-001,LH-SRC-OC-EIR-CERT,Developer retrospective describes County approval in 1997 without naming the action.,LH-EVT-001B,LH-SRC-RMV-PLANNING,Preserve both; use 1995-10-17 only for EIR certification and leave the 1997 action unresolved.,high,open_scope_distinction,,,
LH-CONFLICT-SHARED-SCHOOL-OPENING,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,month_grouping_versus_exact_date,Community timeline groups the school milestone in July 2003.,LH-EVT-020;LH-EVT-021,LH-SRC-LARMAC-TIMELINE,Official school reports state the shared campus opened 2003-08-27.,LH-EVT-023,LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,Use 2003-08-27 for the school opening; retain July community park/library milestones separately.,high,resolved_by_authoritative_source,,,
LH-CONFLICT-M5-FIRST-RESIDENT,,first_resident_date,Contemporary Los Angeles Times reporting dates escrow to 1999-11-29 and first overnight stay to 1999-11-30.,LH-EVT-M5-004;LH-EVT-M5-005,LH-SRC-LAT-FIRST-RESIDENT-1999,Official Ladera retrospective states the first resident moved in on 1999-12-14.,LH-EVT-008,LH-SRC-LARMAC-TIMELINE,,,unresolved_definition_or_retrospective_discrepancy,LH-VILLAGE-OAK-KNOLL,Retain both. Prefer the contemporary report for the reported overnight event; do not infer certificate of occupancy or habitability from either.,medium
LH-CONFLICT-M5-BUILDER-CASTELLINA,,builder_assignment,Secondary 2010 directory assigns Standard Pacific.,LH-PRODUCT-COVENANT-HILLS-CASTELLINA,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Centex Homes.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-CASTELLINA,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-SEGOVIA,,builder_assignment,Secondary 2010 directory assigns Centex Homes.,LH-PRODUCT-COVENANT-HILLS-SEGOVIA,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Pardee.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-SEGOVIA,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-AMARANTE-I-II,,builder_assignment,Secondary 2010 directory assigns Shea Homes.,LH-PRODUCT-COVENANT-HILLS-AMARANTE,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Lyon Homes.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-AMARANTE,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-MONTANEZ,,builder_assignment,Secondary 2010 directory assigns William Lyon Homes.,LH-PRODUCT-COVENANT-HILLS-MONTANEZ,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Centex Homes.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-MONTANEZ,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-MERIDEN,,builder_assignment,Secondary 2010 directory assigns John Laing Homes.,LH-PRODUCT-COVENANT-HILLS-MERIDEN,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Warmington.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-MERIDEN,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-BELLATAIRE-I-II,,builder_assignment,Secondary 2010 directory assigns Standard Pacific Homes.,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Lyon Homes.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
LH-CONFLICT-M5-BUILDER-LAS-PIEDRAS,,builder_assignment,Secondary 2010 directory assigns Barratt American.,LH-PRODUCT-COVENANT-HILLS-LAS-PIEDRAS,LH-SRC-ACTIVERAIN-2010,County bond monitoring report assigns Standard Pacific.,County 2006 table for Phase VI,LH-SRC-OC-BOND-2006Q4,,,resolved_by_authoritative_primary_source,LH-PRODUCT-COVENANT-HILLS-LAS-PIEDRAS,Use the contemporary official County table for the builder claim; retain the secondary report as conflict evidence.,high
