snapshotId,year,snapshotType,communityState,communityStatus,tractMapsRecordedByYear,tractMapsRecordedCumulative,homesSoldAsOf,activeSchoolCount,documentedMilestones,milestoneEventIds,activeConstructionGeometryStatus,habitableGeometryStatus,occupiedGeometryStatus,openSchoolIds,openParkAndFacilityIds,imageryIds,imageryCoverageStatus,proximityStatus,windContextStatus,terrainContextStatus,confidence,sourceIds,missingData,limitations
LH-SNAPSHOT-M4-1997,1997,annual_evidence_manifest,approval_recalled_by_developer,approval_recalled_by_developer,0,0,0,0,Developer retrospective places County approval in 1997,LH-EVT-001B,not_supported,not_supported,not_supported,,,LH-IMG-1997-1998,partial_ambiguous_date,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,low,LH-SRC-RMV-PLANNING,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-1998,1998,annual_evidence_manifest,development_started,development_started,1,1,0,0,Development begins; Original alternative development standards approved,LH-EVT-002;LH-EVT-003,not_supported,not_supported,not_supported,,,LH-IMG-1997-1998,partial_ambiguous_date,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-OC-ADS;LH-SRC-ULI-CASE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-1999,1999,annual_evidence_manifest,first_sales_and_occupancy,first_sales_and_occupancy,14,15,93,0,Phase 1 utility environmental record received; Alternative development standards approval; Dirt Tour sales begin; 93 new homes sold; First resident moves in,LH-EVT-004;LH-EVT-005;LH-EVT-006;LH-EVT-007;LH-EVT-008,not_supported,not_supported,not_supported,,,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-CEQANET-UTILITIES;LH-SRC-LARMAC-TIMELINE;LH-SRC-OC-ADS,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2000,2000,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,20,35,562,0,Chief County Engineer approves standards supplement 3; 562 total new homes sold; Oak Knoll Clubhouse opens,LH-EVT-009;LH-EVT-010;LH-EVT-011,not_supported,not_supported,not_supported,,LH-FEAT-OAK-KNOLL-CLUBHOUSE,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-LARMAC-TIMELINE;LH-SRC-OC-ADS,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2001,2001,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,24,59,1546,1,1546 total new homes sold; Ladera Ranch Sports Park opens; Chaparral Elementary opens; Bridgepark Plaza opens; Town Green opens,LH-EVT-012;LH-EVT-013;LH-EVT-014;LH-EVT-015;LH-EVT-016,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-CUSD-CHAPARRAL;LH-SRC-LARMAC-TIMELINE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2002,2002,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,17,76,2488,1,2488 total new homes sold; Avendale Village Clubhouse opens,LH-EVT-017;LH-EVT-018,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN;LH-FEAT-AVENDALE-CLUBHOUSE,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-LARMAC-TIMELINE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2003,2003,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,23,99,3987,3,3987 total new homes sold; Founders Park opens; Ladera Ranch Library opens; Ladera Planned Community Program revised; Ladera Ranch School opens,LH-EVT-019;LH-EVT-020;LH-EVT-021;LH-EVT-022;LH-EVT-023,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN;LH-FEAT-AVENDALE-CLUBHOUSE;LH-FEAT-FOUNDERS-PARK;LH-FEAT-LIBRARY,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,high,LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS;LH-SRC-LARMAC-TIMELINE;LH-SRC-OC-PC,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2004,2004,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,22,121,5087,3,5087 total new homes sold; Ladera Ranch School splits into elementary and middle schools; Flintridge and Covenant Hills village clubhouses open,LH-EVT-024;LH-EVT-025;LH-EVT-026,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN;LH-FEAT-AVENDALE-CLUBHOUSE;LH-FEAT-FOUNDERS-PARK;LH-FEAT-LIBRARY;LH-FEAT-VILLAGE-CLUBHOUSES,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-CUSD-LRMS;LH-SRC-LARMAC-TIMELINE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2005,2005,annual_evidence_manifest,active_construction_and_occupancy,active_construction_and_occupancy,1,122,5879,4,5879 total new homes sold; Oso Grande Elementary opens; Skate Park Wagsdale Park and Terramor Water Park open,LH-EVT-027;LH-EVT-028;LH-EVT-029,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN;LH-FEAT-AVENDALE-CLUBHOUSE;LH-FEAT-FOUNDERS-PARK;LH-FEAT-LIBRARY;LH-FEAT-VILLAGE-CLUBHOUSES;LH-FEAT-2005-PARKS,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,high,LH-SRC-CDE-OSO;LH-SRC-LARMAC-TIMELINE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
LH-SNAPSHOT-M4-2006,2006,annual_evidence_manifest,substantially_complete,substantially_complete,0,122,6380,4,6380 total new homes sold; Community substantially completed,LH-EVT-030;LH-EVT-031,not_supported,not_supported,not_supported,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,LH-FEAT-OAK-KNOLL-CLUBHOUSE;LH-FEAT-SPORTS-PARK;LH-FEAT-BRIDGEPARK-PLAZA;LH-FEAT-TOWN-GREEN;LH-FEAT-AVENDALE-CLUBHOUSE;LH-FEAT-FOUNDERS-PARK;LH-FEAT-LIBRARY;LH-FEAT-VILLAGE-CLUBHOUSES;LH-FEAT-2005-PARKS,,not_located,blocked_missing_dated_subject_and_target_geometry,regional_station_summary_available,2018_post_study_context_available,medium,LH-SRC-LARMAC-TIMELINE;LH-SRC-ULI-CASE,construction geometry;habitability geometry;occupancy geometry;historical attendance boundary;historical facility footprints,Annual records are evidence manifests; unchanged or unavailable fields do not imply historical absence.
