gapId,topic,scope,evidenceNeeded,recommendedRepository,searchOrAccessStatus,priority,analyticalImpact,recommendedFollowUp,reviewStatus
LH-GAP-M4-001,tract_lifecycle,123 tracts,"grading, building, final, and occupancy records",Orange County Planning/Public Works and permit archives,public_recording_current_crosswalk_and_product_snapshots_added_manual_permit_records_required,critical,"All 123 legal recording dates remain intact; 116 tracts gain current neighborhood candidates and 97 gain product candidates, but physical lifecycle remains unresolved.","Request grading, building, inspection-closeout, certificate-of-occupancy, and assessor records by tract and address.",partially_reduced_but_still_blocking
LH-GAP-M4-002,historical_imagery,1999-2010 annual states,dated overlapping aerial frames,USGS EarthExplorer and County aerial archives,public_full_coverage_found_2005_2009_2010_other_years_unresolved,critical,Three development-era full-coverage aerial states now support visible-change interpretation; annual 1999-2004 and 2006-2008 states remain missing.,Request County/Eagle/USGS frames for missing years and archive acquisition metadata.,partially_resolved_mission5
LH-GAP-M4-003,occupancy_geometry,residential areas,"certificates of occupancy, closings, or address-level activation","County building records, Recorder, builders, HOA",aggregate_public_evidence_added_manual_address_level_records_still_required,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,partially_reduced_but_still_blocking
LH-GAP-M4-004,construction_geometry,active development areas,dated grading/as-built plans or adjacent imagery,County plan sets and historical aerial programs,aggregate_public_evidence_added_manual_address_level_records_still_required,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,partially_reduced_but_still_blocking
LH-GAP-M4-005,tract_hierarchy,123 tracts,"planning-area, village, neighborhood, builder/product crosswalk","recorded maps, improvement plans, builder archives",partially_reduced_by_public_current_crosswalk,high,Current neighborhood and village associations now cover matched leaf tracts; historical legal assignment and lifecycle dates remain unresolved.,"Obtain subdivision improvement, building-permit, and certificate-of-occupancy records keyed by tract/address.",partially_resolved_mission5
LH-GAP-M4-006,school_boundaries,1997-2010 attendance assignments,dated attendance maps and board actions,Capistrano Unified School District,public_opening_and_project_records_exhausted_historical_boundaries_require_district_request,high,"School opening chronology is supported, but annual attendance assignment remains unknown.",Request 1997-2010 attendance-area maps and adoption actions from CUSD.,manual_record_blocker_preserved
LH-GAP-M4-007,roads,community streets and arterials,"construction, partial opening, full opening, and access records",Orange County Public Works,current_centerlines_and_2008_status_found_historical_acceptance_records_manual,high,Current road names/geometries and one dated widening status are available; annual road opening states remain unknown.,Request improvement-plan acceptance resolutions and maintenance logs by tract and street.,partially_resolved_mission5
LH-GAP-M4-008,haul_routes,construction access,explicit approved route plans,grading plans and conditions of approval,not_located_publicly_manual_grading_plan_request_required,high,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,manual_record_blocker_preserved
LH-GAP-M4-009,parks_facilities,community amenities,construction windows and historical footprints,"LARMAC, County, developer archives",official_retrospective_opening_milestones_available_exact_boundaries_and_construction_records_manual,medium,"Named opening milestones exist, but construction windows and historical footprints remain unresolved.","Request LARMAC board packets, original brochures, and recorded common-area plats.",partially_resolved_mission5
LH-GAP-M4-010,commercial,Bridgepark and later centers,"tenant openings, construction intervals, historical footprints",planning files and newspaper archives,official_2006_asset_status_snapshot_found_opening_dates_and_footprints_manual,medium,Eight UAC residential/commercial assets now have exact 2006-12-31 status and quantity snapshots; openings and historical footprints remain unresolved.,"Obtain tenant permits, leases, assessor records, and historical parcel/site plans.",partially_resolved_mission5
LH-GAP-M4-011,terrain_vertical_units,2018 DEM,explicit band-value unit or vertical datum,Orange County OC Survey,metadata_clarification,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-012,wind_locality,Ladera Ranch,on-site study-period station observations,agency or environmental-review archives,not_located_publicly,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
