id,priority,category,question,evidenceNeeded,status,blockedOutput,nextAction
LH-TODO-001,critical,entitlement,Which Board action adopted the original Ladera Ranch zoning and entitlement beyond certification of Final EIR 555?,Original 1995 Board minutes adopted resolution ordinance and findings,open,Entitlement-action confidence,Retrieve the 1995-10-17 Board minutes and adopted instruments; do not conflate EIR certification with project approval
LH-TODO-002,critical,planning,How do the numbered planning areas crosswalk to the nine named villages?,Registered County planned-community map plus village map,open,Village GIS and chronology,Digitize and cross-reference map sheets
LH-TODO-003,critical,tracts,Which recorded tract maps belong to each village and builder?,Final map title sheets and builder filings,partially_answered_current_geography_and_product_candidates,Village build sequence,Use the Mission 5 address/tract crosswalk and County product tables as candidates; obtain tract-keyed historical permit or final-map records for legal confirmation.
LH-TODO-004,critical,grading,What were the start and completion dates and extents of mass-grading phases?,County grading permits and inspection closeouts,open,Annual grading polygons and proximity tables,Request permit index or query OC Development Services
LH-TODO-005,critical,occupancy,What were first and substantial occupancy dates by village or tract?,Certificates of occupancy assessor improvement years and sales releases,partially_answered_cfd_aggregate_only,Occupied-neighborhood annual layer,Use County built-and-occupied absorption only at CFD aggregate scale; obtain certificates of occupancy or assessor improvements for tract/address geometry.
LH-TODO-006,high,roads,When did each backbone and village road open and become County-maintained?,Improvement plans acceptance resolutions and road-maintenance logs,partially_answered_2008_status_and_current_geometry_only,Road annual layer,Request improvement-plan acceptance resolutions and maintenance logs; do not date roads from current centerlines.
LH-TODO-007,high,utilities,When were each water sewer recycled-water and storm-drain phase placed in service?,SMWD as-builts notices of completion and acceptance records,open,Utility annual layer,Retrieve SCH 1999031033 attachments and SMWD board records
LH-TODO-008,high,imagery,Which public aerials cover each year from 1999 through 2006?,County USGS USDA NAIP and library flight indexes,partially_answered_2005_2009_2010_full_coverage,Annual visual interpretation,Request or license full-coverage 1999-2004 and 2006-2008 frames; preserve official flight metadata.
LH-TODO-009,high,schools,When did planning and construction begin for each Ladera school?,CUSD board approvals bid awards DSA applications and notices of completion,open,School construction annual layer,Search CUSD board archive by school and project number
LH-TODO-010,high,parks,What are the exact opening dates and boundaries for all parks and clubhouses?,LARMAC board records original brochures and recorded common-area plats,partially_answered_opening_milestones_only,Park annual layer,Request LARMAC board packets and recorded common-area plats for exact facility dates and historical footprints.
LH-TODO-011,high,commercial,What opened in Bridgepark and Mercantile districts and when?,Leasing releases tenant announcements permits and assessor records,partially_answered_2006_status_snapshot,Commercial annual layer,"Use the CFD 2002-1 table for the 2006-12-31 status only; obtain permits, tenant announcements, and assessor records for openings and footprints."
LH-TODO-012,high,proximity,How close was each occupied neighborhood to active construction each year?,Dated occupied and active-construction polygons,blocked,25m through 1000m proximity tables,Do not calculate until geometry gates are met
LH-TODO-013,medium,builders,Which builders and model collections correspond to each tract?,Builder brochures archived websites and tract title sheets,partially_answered_product_level_builder_tables,Neighborhood reconstruction,Retain County-over-secondary conflict resolutions; obtain tract-keyed builder filings and brochures for exact tract assignment.
LH-TODO-014,medium,buildout,When was physical buildout complete after the 2007 sellout except custom lots?,Final permits assessor years and community records,partially_answered_production_products_custom_lots_unresolved,Atlas end date,Treat full Phase VI production permit and escrow counts by 2011 as an upper bound only; obtain custom-lot final permits and assessor years.
LH-TODO-015,medium,wind,What site-specific wind record best represents the Ladera valleys?,Hourly station comparison and terrain-aware climatology,open,Climatology precision,Use El Toro and John Wayne only as regional context until a closer station is validated
