assetChronologyId,assetId,assetName,assetClass,milestoneState,earliestDate,latestDate,datePrecision,geometryId,geometryStatus,sourceIds,confidence,limitations,haulRouteStatus,reviewStatus
LH-ASSET-EVT-004,LH-FEAT-UTILITIES,Phase 1 utility environmental record received,utilities,planned,1999-03-09,1999-03-09,day,,not_retrieved,LH-SRC-CEQANET-UTILITIES,high,Includes domestic and nondomestic water sewer force mains pump station and lift station Construction interval and historical footprint are not established by this opening milestone.,not_documented,documented_opening_or_record_milestone
LH-ASSET-EVT-011,LH-FEAT-OAK-KNOLL-CLUBHOUSE,Oak Knoll Clubhouse opens,clubhouse,open,2000-03-01,2000-03-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-013,LH-FEAT-SPORTS-PARK,Ladera Ranch Sports Park opens,park,open,2001-06-01,2001-06-30,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-014,LH-SCHOOL-CHAPARRAL,Chaparral Elementary opens,school,open,2001-09-01,2001-09-30,month,,current_point_available,LH-SRC-CUSD-CHAPARRAL,high,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-015,LH-FEAT-BRIDGEPARK-PLAZA,Bridgepark Plaza opens,commercial,open,2001-10-01,2001-10-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-016,LH-FEAT-TOWN-GREEN,Town Green opens,park,open,2001-10-01,2001-10-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-018,LH-FEAT-AVENDALE-CLUBHOUSE,Avendale Village Clubhouse opens,clubhouse,open,2002-06-01,2002-06-30,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-020,LH-FEAT-FOUNDERS-PARK,Founders Park opens,park,open,2003-07-01,2003-07-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Community timeline month conflicts with school reports exact August 27 opening; events are preserved separately Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-021,LH-FEAT-LIBRARY,Ladera Ranch Library opens,library,open,2003-07-01,2003-07-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact day not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-023,LH-SCHOOL-LRES,Ladera Ranch School opens,school,open,2003-08-27,2003-08-27,day,,current_point_available,LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,high,Shared elementary and middle campus Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-025,LH-SCHOOL-LRMS,Ladera Ranch School splits into elementary and middle schools,school,open,2004-01-01,2004-12-31,year,,current_point_available,LH-SRC-CUSD-LRMS,high,Exact date not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-026,LH-FEAT-VILLAGE-CLUBHOUSES,Flintridge and Covenant Hills village clubhouses open,clubhouse,open,2004-12-01,2004-12-31,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact days not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-028,LH-SCHOOL-OSO-GRANDE,Oso Grande Elementary opens,school,open,2005-08-24,2005-08-24,day,,current_point_available,LH-SRC-CDE-OSO,high,Official registry date Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
LH-ASSET-EVT-029,LH-FEAT-2005-PARKS,Skate Park Wagsdale Park and Terramor Water Park open,park,open,2005-11-01,2005-11-30,month,,not_retrieved,LH-SRC-LARMAC-TIMELINE,medium,Exact days not published Construction interval and historical footprint are not established by this opening milestone.,not_applicable,documented_opening_or_record_milestone
