builderCandidates,builderProductIds,chronologyStatus,completionUpperBound,confidence,limitations,modelOrSalesOpening,neighborhoodName,neighborhoodPhaseId,officialVillageCode,reviewStatus,sourceIds,village
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-AMBERLY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Amberly Lane 1,LH-NPH-01-AMBERLY-LANE-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-AMBERLY-LANE,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Amberly Lane 2,LH-NPH-01-AMBERLY-LANE-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-FAIRFIELD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Fairfield 1,LH-NPH-01-FAIRFIELD-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-FAIRFIELD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Fairfield 2,LH-NPH-01-FAIRFIELD-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
,,current_name_and_village_only,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Heritage Park (DMB),LH-NPH-01-HERITAGE-PARK-DMB,1,historical_dates_not_located,LH-SRC-LARMAC-VILLAGE-1,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-MAPLEWOOD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Maplewood 1,LH-NPH-01-MAPLEWOOD-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-MAPLEWOOD,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Maplewood 2,LH-NPH-01-MAPLEWOOD-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-PRESCOTT,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Prescott 1,LH-NPH-01-PRESCOTT-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-PRESCOTT,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Prescott 2,LH-NPH-01-PRESCOTT-2,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-SARASOTA,product_level_milestones_available,,medium,"The official directory establishes current naming. Product-level permit or escrow snapshots do not establish the opening, construction, completion, habitability, or occupancy date of every numbered phase.",,Sarasota 1,LH-NPH-01-SARASOTA-1,1,bounded_product_crosswalk,LH-SRC-LARMAC-VILLAGE-1;LH-SRC-ACTIVERAIN-2010,Oak Knoll
