builderCandidates,builderProductCandidates,completion,confidence,finalMap,firstOccupancy,grading,infrastructure,knownLifecycleAdditions,limitations,mapRecordingDate,matchedAddressPointCount,modelHomes,neighborhoodCandidates,partialOccupancy,planning,recording,reviewStatus,roads,sales,sourceIds,substantialOccupancy,tentativeMap,tractId,tractNumber,utilities,verticalConstruction,villageCandidates
Shea Homes,LH-PRODUCT-OAK-KNOLL-SYCAMORE-GROVE,unknown,medium,MM 777/14-31,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1998-12-11,106,unknown,Sycamore Grove,unknown,not_reconstructed,1998-12-11,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15615,15615,unknown,unknown,Oak Knoll
Shea Homes,LH-PRODUCT-OAK-KNOLL-SHADY-LANE,unknown,medium,MM 787/39-42,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-06-30,56,unknown,Shady Lane,unknown,not_reconstructed,1999-06-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15616,15616,unknown,unknown,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-PRESCOTT,unknown,medium,MM 787/48-50,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-07-28,15,unknown,Prescott 2,unknown,not_reconstructed,1999-07-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15617,15617,unknown,unknown,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-AMBERLY-LANE,unknown,medium,MM 786/44-47,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-28,22,unknown,Amberly Lane 2,unknown,not_reconstructed,1999-05-28,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15618,15618,unknown,unknown,Oak Knoll
,,unknown,recording_high_physical_lifecycle_unknown,MM 814/3-6,unknown,unknown,unknown,,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2001-03-09,0,unknown,,unknown,not_reconstructed,2001-03-09,physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS,unknown,not_reconstructed,LH-TRACT-15619,15619,unknown,unknown,
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-FAIRFIELD,unknown,medium,MM 785/6-9,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-15,40,unknown,Fairfield 2,unknown,not_reconstructed,1999-05-15,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15620,15620,unknown,unknown,Oak Knoll
William Lyon Homes,LH-PRODUCT-OAK-KNOLL-PRESCOTT,unknown,medium,MM 781/14-16,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-03-30,31,unknown,Prescott 1,unknown,not_reconstructed,1999-03-30,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15621,15621,unknown,unknown,Oak Knoll
,,unknown,medium,MM 784/47-50,unknown,unknown,unknown,current_neighborhood_geography,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-14,64,unknown,Whispering Creek 2,unknown,not_reconstructed,1999-05-14,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS,unknown,not_reconstructed,LH-TRACT-15622,15622,unknown,unknown,Oak Knoll
Taylor Woodrow,LH-PRODUCT-OAK-KNOLL-FAIRFIELD,unknown,medium,MM 784/19-21,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",1999-05-04,47,unknown,Fairfield 1,unknown,not_reconstructed,1999-05-04,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15623,15623,unknown,unknown,Oak Knoll
Brookfield Homes,LH-PRODUCT-OAK-KNOLL-WYETH,unknown,medium,MM 798/38-43,unknown,unknown,unknown,current_neighborhood_geography;builder_product_candidate,"Mission 5 adds current geographic and product associations but does not transfer CFD aggregate dates to a tract. Permit, grading, certificate-of-occupancy, and address-level historical records remain required.",2000-04-06,55,unknown,Wyeth 2,unknown,not_reconstructed,2000-04-06,enriched_but_physical_lifecycle_unresolved,unknown,unknown,LH-SRC-OC-TRACTS;LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-ACTIVERAIN-2010,unknown,not_reconstructed,LH-TRACT-15624,15624,unknown,unknown,Oak Knoll
