gapId,topic,scope,evidenceNeeded,recommendedRepository,searchOrAccessStatus,priority,analyticalImpact,recommendedFollowUp,reviewStatus
LH-GAP-M4-001,tract_lifecycle,123 tracts,"grading, building, final, and occupancy records",Orange County Planning/Public Works and permit archives,private_or_manual_record_request,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-002,historical_imagery,1999-2010 annual states,dated overlapping aerial frames,USGS EarthExplorer and County aerial archives,account_or_manual_archive_search,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-003,occupancy_geometry,residential areas,"certificates of occupancy, closings, or address-level activation","County building records, Recorder, builders, HOA",nonpublic_or_manual_record_request,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-004,construction_geometry,active development areas,dated grading/as-built plans or adjacent imagery,County plan sets and historical aerial programs,manual_record_request,critical,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-005,tract_hierarchy,123 tracts,"planning-area, village, neighborhood, builder/product crosswalk","recorded maps, improvement plans, builder archives",manual_crosswalk_and_records,high,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-006,school_boundaries,1997-2010 attendance assignments,dated attendance maps and board actions,Capistrano Unified School District,manual_district_request,high,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-007,roads,community streets and arterials,"construction, partial opening, full opening, and access records",Orange County Public Works,manual_record_request,high,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-008,haul_routes,construction access,explicit approved route plans,grading plans and conditions of approval,manual_record_request,high,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-009,parks_facilities,community amenities,construction windows and historical footprints,"LARMAC, County, developer archives",manual_archive_search,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-010,commercial,Bridgepark and later centers,"tenant openings, construction intervals, historical footprints",planning files and newspaper archives,manual_archive_search,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-011,terrain_vertical_units,2018 DEM,explicit band-value unit or vertical datum,Orange County OC Survey,metadata_clarification,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
LH-GAP-M4-012,wind_locality,Ladera Ranch,on-site study-period station observations,agency or environmental-review archives,not_located_publicly,medium,Blocks dated spatial reconstruction or reduces historical precision.,Request and archive the named record class; preserve a no-record response if applicable.,open
