year,communityStatus,tractMapsRecordedByYear,tractMapsRecordedCumulative,homesSoldAsOf,activeSchoolCount,documentedMilestones,ranchlandStatus,gradingStatus,roadStatus,utilityStatus,confidence,sourceIds,limitations
1997,approval_recalled_by_developer,0,0,0,0,Developer retrospective places County approval in 1997,Not quantified,Unknown,Unknown,Unknown,low,LH-SRC-RMV-PLANNING;LH-SRC-OC-EIR-CERT,Official County record dates Final EIR 555 certification to 1995-10-17; the exact broader 1997 action remains unidentified; current CDP boundary is not the entitlement boundary
1998,development_started,1,1,0,0,Development begins and original standards approved,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-ULI-CASE;LH-SRC-OC-ADS,No dated grading or construction polygons yet; tract counts are generated
1999,first_sales_and_occupancy,14,15,93,0,Utility package and dirt-tour sales and first resident,Not quantified,Active at community scale,Unknown,Planned phase 1 package,medium,LH-SRC-CEQANET-UTILITIES;LH-SRC-LARMAC-TIMELINE,Sales and occupancy are community-level; no village polygons
2000,active_construction_and_occupancy,20,35,562,0,Oak Knoll Clubhouse opens,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-LARMAC-TIMELINE,No permit-level construction status
2001,active_construction_and_occupancy,24,59,1546,1,Sports Park Chaparral School Bridgepark Plaza and Town Green open,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-LARMAC-TIMELINE;LH-SRC-CUSD-CHAPARRAL,School count treats September opening as active by year end
2002,active_construction_and_occupancy,17,76,2488,1,Avendale Clubhouse opens and 54 neighborhoods reported open,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-LARMAC-TIMELINE,Neighborhood open is a marketing status not a buildout measure
2003,active_construction_and_occupancy,23,99,3987,3,Founders Park library and shared Ladera Ranch School open,Not quantified,Unknown,Unknown,Unknown,high,LH-SRC-LARMAC-TIMELINE;LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,Community timeline and school report differ by one month; official date controls school activation
2004,active_construction_and_occupancy,22,121,5087,3,School split and Flintridge and Covenant Hills clubhouses open,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-CUSD-LRMS;LH-SRC-LARMAC-TIMELINE,No tract-to-village crosswalk yet
2005,active_construction_and_occupancy,1,122,5879,4,Oso Grande School and three park facilities open,Not quantified,Unknown,Unknown,Unknown,high,LH-SRC-CDE-OSO;LH-SRC-LARMAC-TIMELINE,No construction start dates for facilities
2006,substantially_complete,0,122,6380,4,Substantial completion reported,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-ULI-CASE;LH-SRC-LARMAC-TIMELINE,Substantial completion does not mean every custom lot was complete
2007,sold_out_except_custom,0,122,6585,4,Community sells out except custom lots,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-LARMAC-TIMELINE,Physical buildout remains unresolved
2008,late_custom_lot_phase,1,123,6631,4,Additional home sales reported,Not quantified,Unknown,Unknown,Unknown,medium,LH-SRC-LARMAC-TIMELINE,Final buildout date remains unresolved
