id,dateStart,dateEnd,temporalPrecision,eventType,title,placeName,featureId,status,statementClass,confidence,sourceIds,sourceLocator,interpretationMethod,conflictNotes,notes
LH-EVT-001,1995-10-17,,day,eir_certification,Board of Supervisors certifies Final EIR 555,Ladera Ranch,LH-FEAT-COMMUNITY,certified,documented_exact,high,LH-SRC-OC-EIR-CERT,PDF page 3,direct transcription,Developer retrospective separately describes County approval in 1997; the exact broader entitlement action remains to be retrieved,Official County staff record retrospectively identifies the certification date
LH-EVT-001B,1997-01-01,1997-12-31,year,approval_claim,Developer retrospective places County approval in 1997,Ladera Ranch,LH-FEAT-COMMUNITY,reported,documented_approximate,low,LH-SRC-RMV-PLANNING,Responsible Planning - Ladera Ranch 1997,direct transcription,Official County record dates Final EIR 555 certification to 1995-10-17; the retrospective does not identify the 1997 action,"Preserved as a source claim, not treated as the exact entitlement action"
LH-EVT-002,1998-01-01,1998-12-31,year,development_start,Development begins,Ladera Ranch,LH-FEAT-COMMUNITY,active,documented_approximate,medium,LH-SRC-ULI-CASE,Case study opening summary,direct transcription,,Substantial completion is separately dated to 2006
LH-EVT-003,1998-04-07,,day,standards_approval,Original alternative development standards approved,Ladera Ranch,LH-FEAT-COMMUNITY,approved,documented_exact,high,LH-SRC-OC-ADS,Cover/version history,direct transcription,,Regulatory milestone only
LH-EVT-004,1999-03-09,,day,utilities,Phase 1 utility environmental record received,Ladera Ranch,LH-FEAT-UTILITIES,planned,documented_exact,high,LH-SRC-CEQANET-UTILITIES,CEQAnet SCH 1999031033,direct transcription,,Includes domestic and nondomestic water sewer force mains pump station and lift station
LH-EVT-005,1999-03-09,,day,standards_approval,Alternative development standards approval,Ladera Ranch,LH-FEAT-COMMUNITY,approved,documented_exact,high,LH-SRC-OC-ADS,Cover/version history,direct transcription,,Regulatory milestone only
LH-EVT-006,1999-08-01,1999-08-31,month,sales,Dirt Tour sales begin,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,08/1999,direct transcription,,Exact day not published
LH-EVT-007,1999-10-01,1999-10-31,month,sales,93 new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,10/1999,direct transcription,,Sales figure awaits original sales ledger corroboration
LH-EVT-008,1999-12-14,,day,occupancy,First resident moves in,Ladera Ranch,LH-FEAT-OCCUPANCY,occupied,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,12/1999,direct transcription,,Community-level event; village assignment is not encoded without a primary occupancy record
LH-EVT-009,2000-02-28,,day,standards_approval,Chief County Engineer approves standards supplement 3,Ladera Ranch,LH-FEAT-COMMUNITY,approved,documented_exact,high,LH-SRC-OC-ADS,Cover/version history,direct transcription,,Regulatory milestone only
LH-EVT-010,2000-03-01,2000-03-31,month,sales,562 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,03/2000,direct transcription,,Timeline reports 469 new and 562 total
LH-EVT-011,2000-03-01,2000-03-31,month,clubhouse,Oak Knoll Clubhouse opens,Oak Knoll,LH-FEAT-OAK-KNOLL-CLUBHOUSE,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,03/2000,direct transcription,,Exact day not published
LH-EVT-012,2001-02-01,2001-02-28,month,sales,1546 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,02/2001,direct transcription,,Timeline reports 984 new and 31 neighborhoods open
LH-EVT-013,2001-06-01,2001-06-30,month,park,Ladera Ranch Sports Park opens,Ladera Ranch,LH-FEAT-SPORTS-PARK,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,06/2001,direct transcription,,Exact day not published
LH-EVT-014,2001-09-01,2001-09-30,month,school,Chaparral Elementary opens,Chaparral Elementary,LH-SCHOOL-CHAPARRAL,open,documented_exact,high,LH-SRC-CUSD-CHAPARRAL,School overview,direct transcription,,Exact day not published
LH-EVT-015,2001-10-01,2001-10-31,month,commercial,Bridgepark Plaza opens,Bridgepark,LH-FEAT-BRIDGEPARK-PLAZA,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,10/2001,direct transcription,,Exact day not published
LH-EVT-016,2001-10-01,2001-10-31,month,park,Town Green opens,Ladera Ranch,LH-FEAT-TOWN-GREEN,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,10/2001,direct transcription,,Exact day not published
LH-EVT-017,2002-03-01,2002-03-31,month,sales,2488 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,03/2002,direct transcription,,Timeline reports 942 new and 54 neighborhoods open
LH-EVT-018,2002-06-01,2002-06-30,month,clubhouse,Avendale Village Clubhouse opens,Avendale,LH-FEAT-AVENDALE-CLUBHOUSE,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,06/2002,direct transcription,,Exact day not published
LH-EVT-019,2003-04-01,2003-04-30,month,sales,3987 total new homes sold,Ladera Ranch,LH-FEAT-SALES,active,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,04/2003,direct transcription,,Timeline also reports population 6112
LH-EVT-020,2003-07-01,2003-07-31,month,park,Founders Park opens,Ladera Ranch,LH-FEAT-FOUNDERS-PARK,open,documented_exact,medium,LH-SRC-LARMAC-TIMELINE,07/2003,direct transcription,,Community timeline month conflicts with school reports exact August 27 opening; events are preserved separately
